Date,Departure Airport,Arrival Airport,Flight Number,Flight Time,STD,ATD,STA,Status,StatusText,StatusTime,Callsign,AIRCRAFT,TYPE CODE,MODE S,AIRLINE,Code,OPERATOR,Code2
15 Jan 2025,Siem Reap (SAI),Bangkok (BKK),TG589,—,09:50 AM,09:55 AM,10:55 AM,Estimated 10:40 AM,Estimated,10:40 AM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
15 Jan 2025,Bangkok (BKK),Siem Reap (SAI),TG588,0:42,07:45 AM,07:59 AM,08:45 AM,Landed 08:41 AM,Landed,08:41 AM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
14 Jan 2025,Khon Kaen (KKC),Bangkok (BKK),TG47,0:52,09:10 PM,10:04 PM,10:10 PM,Landed 10:55 PM,Landed,10:55 PM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
14 Jan 2025,Bangkok (BKK),Khon Kaen (KKC),TG46,0:40,07:40 PM,08:41 PM,08:40 PM,Landed 09:21 PM,Landed,09:21 PM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
14 Jan 2025,Phuket (HKT),Bangkok (BKK),TG216,1:25,05:10 PM,05:58 PM,06:40 PM,Landed 07:23 PM,Landed,07:23 PM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
14 Jan 2025,Bangkok (BKK),Phuket (HKT),TG215,1:19,03:00 PM,03:33 PM,04:30 PM,Landed 04:52 PM,Landed,04:52 PM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
14 Jan 2025,Phuket (HKT),Bangkok (BKK),TG206,1:18,11:50 AM,12:41 PM,01:20 PM,Landed 01:59 PM,Landed,01:59 PM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
14 Jan 2025,Bangkok (BKK),Phuket (HKT),TG205,1:23,09:40 AM,10:09 AM,11:10 AM,Landed 11:32 AM,Landed,11:32 AM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
14 Jan 2025,Phuket (HKT),Bangkok (BKK),TG226,1:12,07:30 AM,07:31 AM,08:55 AM,Landed 08:42 AM,Landed,08:42 AM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
13 Jan 2025,Bangkok (BKK),Phuket (HKT),TG225,1:09,10:40 PM,10:53 PM,11:59 PM,Landed 12:02 AM,Landed,12:02 AM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
13 Jan 2025,Phuket (HKT),Bangkok (BKK),TG218,1:05,07:40 PM,07:55 PM,09:15 PM,Landed 09:01 PM,Landed,09:01 PM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
13 Jan 2025,Bangkok (BKK),Phuket (HKT),TG217,1:07,05:30 PM,05:47 PM,07:00 PM,Landed 06:55 PM,Landed,06:55 PM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
13 Jan 2025,Hat Yai (HDY),Bangkok (BKK),TG264,1:14,02:40 PM,02:54 PM,04:15 PM,Landed 04:08 PM,Landed,04:08 PM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
13 Jan 2025,Bangkok (BKK),Hat Yai (HDY),TG263,1:13,12:30 PM,12:47 PM,02:00 PM,Landed 01:59 PM,Landed,01:59 PM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
13 Jan 2025,Chiang Mai (CNX),Bangkok (BKK),TG103,1:02,09:25 AM,09:30 AM,10:50 AM,Landed 10:32 AM,Landed,10:32 AM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
13 Jan 2025,Bangkok (BKK),Chiang Mai (CNX),TG102,0:54,07:25 AM,07:43 AM,08:45 AM,Landed 08:37 AM,Landed,08:37 AM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
12 Jan 2025,Chiang Mai (CNX),Bangkok (BKK),TG121,0:59,09:05 PM,11:06 PM,10:25 PM,Landed 12:04 AM,Landed,12:04 AM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
12 Jan 2025,Bangkok (BKK),Chiang Mai (CNX),TG120,0:55,07:05 PM,09:06 PM,08:25 PM,Landed 10:01 PM,Landed,10:01 PM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
12 Jan 2025,Chiang Mai (CNX),Bangkok (BKK),TG113,1:22,04:55 PM,06:25 PM,06:15 PM,Landed 07:47 PM,Landed,07:47 PM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
12 Jan 2025,Bangkok (BKK),Chiang Mai (CNX),TG112,0:56,02:55 PM,04:32 PM,04:15 PM,Landed 05:28 PM,Landed,05:28 PM,HS-TXA,Airbus A320-232,A320,885301,Thai Airways,TG / THA,Thai Airways,TG / THA
